Name,Price,Make,Model,Year,Condition,Transmission,Exchange,Fuel Type,BodyType,Location,Mileage
Tokunbo Toyota Matrix 4WD 2004,"1,800,000",Toyota,Matrix,2004,,Automatic,,Petrol,,Lagos,43000
Toyota Corolla 2002 Super Clean,"1,300,000",Toyota,Corolla,2002,,Automatic,,Petrol,,Lagos,45807
2015 Toyota Venza XLE,"1,600,000",Toyota,Venza,2003,,Automatic,,Petrol,,Lagos,46508
2010 Lexus RX 330 On Sale Direct Imported,"1,600,000",Lexus,RX,2003,,Automatic,,Petrol,,Lagos,45874
2001 Toyota Camry,"1,500,000",Toyota,Camry,2001,,Automatic,,Petrol,,Lagos,25000
2003 Toyota Highlander,"2,000,000",Toyota,Highlander,2003,,Automatic,,Petrol,,Lagos,45000
foreign used Nissan Altima 2008 model for sale,"1,000,000",Nissan,Altima,2002,,Automatic,,Petrol,,Oshogbo,852364
2008 Nissan Altima for sale,"1,000,000",Nissan,Altima,2002,,Automatic,,Petrol,,Asaba,200036
clean and neat Nissan morano 2010 model for sale,"1,200,000",Nissan,Murano,2002,,Automatic,,Petrol,,Lagos,854632
direct tokunbor Nissan morano 2006 model for sale,"1,000,000",Nissan,Murano,2002,,Automatic,,Petrol,,Harcourt,542368
2008 Nissan Frontier SE 4x4 for sale,"1,250,000",Nissan,Frontier,2002,,Automatic,,Petrol,,Lagos,524536
very clean 2014 toyota Avalon limited edition,"1,300,000",Toyota,Avalon,2002,,Automatic,,Petrol,,Harcourt,256354
tokumbor toyota Avalon 2006 model for sale,"1,000,000",Toyota,Avalon,2002,,Automatic,,Petrol,,Ibadan,253466
Toyota Hummer Bus For sale at Affordable Price,"1,800,000",Toyota,Hiace,2002,,Automatic,,Petrol,,Abeokuta,1700
VOLKSWAGEN GOLF 4 For Sale At Affordable Price,"1,000,000",Volkswagen,Golf,2002,,Automatic,,Petrol,,Abakaliki,1000
2008 Toyota Camry,"1,200,000",Toyota,Camry,2001,,Automatic,,Petrol,,Abeokuta,1234
2009 Lexus ES 350,"1,200,000",Lexus,ES,2001,,Automatic,,Petrol,,Harcourt,1234
2008 Toyota Camry,"1,100,000",Toyota,Camry,2001,,Automatic,,Petrol,,Lagos,1234
2017 Toyota Corolla,"1,800,000",Toyota,Corolla,2001,,Automatic,,Petrol,,Lagos,1234
2010 Toyota Corolla sport is full of options buy and drive ,"1,500,000",Toyota,Corolla,2002,,Automatic,,Petrol,,Abuja,1000
Lexus RX 330 For Sale At Affordable Price,"1,300,000",Lexus,RX,2002,,Automatic,,Petrol,,Abuja,2000
Lexus ES 350 For Sale At Affordable Price,"1,200,000",Lexus,RX,2002,,Automatic,,Petrol,,Ekiti,1700
